,Filename,firing rate,ifr_mean,ifr_skew,ifr_kurtosis,ifr_fano_factor,baseline_amplitude,peak_trough_amplitude,ISI_mean,ISI_skew,ISI_kurtosis,ISI_cv,num_bursts,mean_surprise,burst_index,mean_burst_duration,var_burst_duration,mean_interburst_duration,var_interburst_duration,max_peak_freq,delta_band,theta_band,alpha_band,beta_band,gamma_band,delta_band_freq,theta_band_freq,delta_band_magnitude,theta_band_magnitude
245,neuron_129.smr,102.999794,102.238806,0.617543918,-0.023667854,16.14075607,0.140958027,0.18566539,0.009690554,3.042443392,19.09081222,0.54561741,21,39.47188435,0.061165049,0.008425714,4.35E-07,0.072336,0.013260435,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.153637368,0.036092037
246,neuron_101.smr,97.07810341,96.66666667,0.50012554,0.424179744,17.09233295,0.60485132,0.976845267,0.010285636,3.770010414,27.08890024,0.786138316,63,36.97727203,0.143073429,0.007555556,1.41E-06,0.176442581,0.091751789,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.069643274,0.027554561
247,neuron_115.smr,26.29839438,26.25739645,0.598437369,0.844347173,5.252462705,0.627944589,0.834732743,0.037943991,1.871367483,6.684784867,0.610656192,36,7.939611109,0.121621622,0.028186667,2.32E-05,0.884797714,1.363300561,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.085526353,0.0298433
248,neuron_139.smr,79.69767268,79.25233645,0.474658474,0.421279739,13.90804091,0.155298101,0.217353928,0.012536235,3.562398691,17.54896538,0.95484857,35,29.6860738,0.246478873,0.008682857,2.61E-06,0.146538235,0.063510341,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.050012146,0.020959483
249,neuron_111.smr,12.31031645,12.30944255,1.794209949,3.306469278,23.82734119,2.961964154,3.700679984,0.079785926,3.717754886,19.61960529,1.713953581,2,8.884990416,0.14232902,0.7006,0.000790734,0.08448,0,3.454545455,1,1,0,0,0,3.454545455,5.393939394,0.049156893,0.026675807
250,neuron_105.smr,92.23774386,91.97149644,-0.457191018,1.375274638,3.803296951,0.164485265,0.19245642,0.010838264,2.938544124,19.96995096,0.502840448,16,34.94176842,0.024780589,0.00872,8.37E-07,1.275861333,5.0881694,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.073488595,0.029533041
251,neuron_313.smr,34.88873859,34.56852792,0.818013893,-0.105769587,23.74277898,1.319708391,1.867490177,0.028667977,4.840980412,33.66874603,1.566304411,64,11.3020821,0.561403509,0.017128125,1.49E-05,0.136876667,0.048013483,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.111157536,0.030345328
252,neuron_307.smr,46.8286073,46.76616915,0.888272865,1.226363312,13.40404361,1.37436191,1.942917844,0.021170299,2.659155876,9.826374669,0.974772899,45,16.10402327,0.287234043,0.013002889,1.24E-05,0.206765682,0.099865893,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.054638483,0.021956703
253,neuron_298.smr,44.68319614,44.40594059,1.744039814,2.509474812,24.6799011,0.982519423,1.315500217,0.022379421,1.398859704,1.711583512,1.015717366,100,15.23338408,0.666666667,0.0100961,9.11E-06,0.091242525,0.057774779,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.053932079,0.024298425
254,neuron_267.smr,87.5000875,87.46666667,0.077080127,-0.326420815,16.37479675,0.704128423,0.995377604,0.011415442,5.869340499,60.79245917,1.058084687,176,32.95293096,0.201142857,0.008961591,1.24E-06,0.1601144,0.053792269,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.120979564,0.029587408
255,neuron_273.smr,77.28043395,76.87804878,0.096209082,-0.167765315,9.69555528,1.554809234,2.12145207,0.012908426,2.008380929,5.742021856,0.78743588,50,28.67640862,0.190114068,0.009345,1.90E-06,0.17625,0.060627404,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.075863543,0.02030891
256,neuron_059.smr,31.09428181,30.98522167,-0.332300282,-0.689501421,8.68091505,0.078391142,0.109433129,0.032096306,7.353291684,64.99820445,1.345904803,11,9.804184669,0.104761905,0.0248,4.75E-06,0.812736,0.438617906,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.117795689,0.028321407
257,neuron_065.smr,78.6,78.4,-0.704625431,1.026899999,4.329591837,1.175137787,1.608644442,0.012620612,2.804186637,12.1399578,0.680274588,0,,0,,,,,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.101048837,0.028872619
258,neuron_071.smr,81,80.71428571,-0.12459499,-0.225196629,4.259165613,0.237302621,0.316336496,0.012339788,2.972181627,18.5633827,0.52542727,3,30.23054923,0.015873016,0.009066667,8.68E-08,1.46272,1.244206394,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.083292199,0.026796553
259,neuron_070.smr,113.8851937,113.2763533,-0.12528444,0.132545127,6.894672881,0.112953639,0.167474589,0.008781205,2.378922079,11.97727292,0.466218564,4,44.06846064,0.006021074,0.00782,2.99E-07,1.351066667,2.109050967,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.089341591,0.028839892
260,neuron_064.smr,81.13333333,81,0.406881567,1.115066441,5.971193416,0.08286762,0.120914431,0.012314868,6.518419441,96.20201148,0.473830386,11,30.28631226,0.027115859,0.010785455,5.08E-07,0.415304,1.065213889,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.091548824,0.028006796
261,neuron_058.smr,23.03540871,22.89308176,0.635457023,-0.317018912,18.31570945,0.748628252,1.376470209,0.041494365,4.806246603,31.19114666,1.703259025,34,6.695114376,0.56043956,0.024705882,2.42E-05,0.181175758,0.041721521,2.96969697,1,0,0,0,0,2.96969697,0,0.229179788,0
262,neuron_272.smr,91.87082961,91.29353234,0.19625753,0.031843211,11.81818428,1.223172077,1.582766326,0.010867138,2.580361897,8.500489689,0.834480831,64,34.78761268,0.208695652,0.007904531,1.44E-06,0.139194444,0.034444237,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.076410471,0.029985507
263,neuron_266.smr,44.84719919,44.72081218,0.708162436,0.321754777,13.63333084,2.196383945,3.10339826,0.022269852,2.455887304,8.330422058,0.981869623,88,15.29983641,0.299319728,0.012782159,8.06E-06,0.206707586,0.077053572,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.071469155,0.033566268
264,neuron_299.smr,85.84247715,85.42857143,0.585059329,-0.623298169,8.473323778,1.547472409,2.044889323,0.011609399,2.203446448,6.250949615,0.802172724,60,32.25795866,0.4,0.007495833,1.89E-06,0.075400678,0.018381339,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.079303126,0.022864342
265,neuron_306.smr,54.20040684,54.02489627,0.109412269,-0.050421915,5.959742751,0.9441064,1.125390925,0.018407312,1.630755055,3.369655281,0.698679311,24,19.11508122,0.110429448,0.01283625,7.93E-06,0.436133478,0.148157247,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.103229268,0.030884805
266,neuron_312.smr,57.97200856,57.79605263,0.421282486,0.045767485,12.69341806,1.208124002,2.143696339,0.017212585,2.732005699,9.057720454,0.979793892,79,20.66541963,0.269624573,0.012267722,4.37E-06,0.173668205,0.068657248,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.095930253,0.028693755
267,neuron_104.smr,89.62472813,89.348659,-0.451632527,0.702107999,4.133330705,0.167608878,0.199007036,0.011123499,3.272889538,22.5543335,0.528195297,9,33.84439257,0.023136247,0.00872,1.73E-06,0.58476,0.65906828,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.097996338,0.030440547
268,neuron_110.smr,61.99944889,61.43646409,-0.409578531,-0.423853082,6.63907548,0.934418665,1.258273655,0.016130987,2.18408357,6.075002066,0.665599131,11,22.3270063,0.059139785,0.012494545,3.89E-06,0.348352,0.266059533,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.094210803,0.030598141
269,neuron_138.smr,98.21050798,97.98507463,-0.0672338,0.068240199,9.400048501,1.555036262,2.009342926,0.010176318,4.320197505,38.83454022,0.814917839,90,37.45395906,0.13684744,0.007825556,8.37E-07,0.214741573,0.095371288,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.114438944,0.034874659
270,neuron_106.smr,24.81963982,24.66049383,1.265172482,0.951662415,38.18055749,0.59605515,0.74215097,0.0400014,9.537924671,118.2250028,3.299777038,120,7.372797444,0.897755611,0.011193333,2.22E-05,0.123171092,0.114643336,,0,0,0,0,0,0,0,0,0
271,neuron_112.smr,11.59218687,11.44144144,0.063916755,-0.778073197,5.487692417,0.1172966,0.145797729,0.087245714,5.230039525,31.81688722,1.034187077,0,,0,,,,,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.081152579,0.036775892
272,neuron_338.smr,63.24968375,62.82157676,-0.250816404,0.501526568,3.572082417,1.419688928,1.754705256,0.015803747,1.373738465,2.844935795,0.52918687,8,22.84396481,0.031620553,0.0114525,7.61E-06,0.895397143,0.75058317,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.089255989,0.029738857
273,neuron_304.smr,40.61108855,40.41551247,0.415759935,0.410334318,9.968312072,0.984362999,1.156972736,0.024631466,2.905434962,12.4768393,0.954699001,55,13.58938902,0.225718194,0.016133091,9.52E-06,0.314815926,0.226172968,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.106262117,0.025857051
274,neuron_310.smr,30.17503488,30.16393443,0.581576559,0.524779872,7.1404134,1.264719965,1.660554305,0.033066231,2.25565168,8.297604926,0.783733886,33,9.444059048,0.215217391,0.021854848,3.22E-05,0.417810312,0.270184702,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.056322343,0.01635511
275,neuron_258.smr,71.74479984,71.45038168,0.117649484,-0.475841818,17.8765414,0.769044459,1.04161803,0.013929177,5.704122965,45.38230384,1.175275856,93,26.36915064,0.297758805,0.010754409,2.36E-06,0.118821957,0.049461588,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.101920808,0.030540736
276,neuron_270.smr,36.29714348,36.04878049,0.142037037,-0.591857837,7.158256048,1.575668866,2.000327714,0.027611784,2.029064704,5.168627588,0.738067104,19,11.86218303,0.153638814,0.021618947,7.26E-06,0.462723333,0.825767448,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.096630417,0.036993165
277,neuron_264.smr,82.34454593,82.17021277,0.436683327,-0.185853548,16.29172405,1.262526027,1.900577959,0.012130362,3.210304157,16.9359471,1.083250741,127,30.79302865,0.394002068,0.008352598,1.67E-06,0.083081667,0.021364959,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.095904066,0.024105794
278,neuron_099.smr,115,114.7916667,0.036288957,-0.504536932,5.799984876,0.11811573,0.154314566,0.008694358,2.699094634,15.48489148,0.471463962,3,44.53992315,0.006521739,0.007946667,2.15E-07,3.42288,11.67944295,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.088628848,0.026319589
279,neuron_072.smr,76.43805957,75.81818182,0.180727272,1.210545549,6.635854952,3.009356777,5.215225341,0.013071438,6.778931363,79.72689255,0.567663327,4,28.32484977,0.019138756,0.01154,3.85E-07,0.04328,0.00011817,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.087382016,0.026456294
280,neuron_066.smr,97.67073001,97.28291317,0.942683177,2.952500216,11.50775772,0.177282932,0.232292996,0.010235857,2.270624489,8.717081468,0.620722277,75,37.22671704,0.129384704,0.0084288,8.95E-07,0.196525405,0.253549844,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.093425622,0.038533963
281,neuron_067.smr,85.16666667,85.08333333,0.467099954,0.502377573,16.76779301,0.215267723,0.344692163,0.011673098,3.228397672,15.63623116,0.843164125,24,31.97475568,0.140900196,0.008466667,1.57E-06,0.22861913,0.13561731,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.083852691,0.03309132
282,neuron_073.smr,64.73145471,64.45255474,0.154367152,0.223786998,6.317547181,0.128921796,0.200552003,0.015442715,6.407543122,103.9400865,0.573173026,15,23.45731873,0.033911078,0.013322667,1.12E-06,0.84084,1.871249593,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.100711912,0.038712836
283,neuron_098.smr,115.6755675,115.3240741,-0.011503662,-0.307097313,5.820044754,0.118916618,0.154819168,0.008640769,2.84712173,17.27972726,0.470689006,3,44.82568701,0.007205765,0.007946667,2.15E-07,3.42288,11.67944295,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.094048258,0.029840566
284,neuron_265.smr,40.24378388,40.07518797,0.758501484,-0.092510467,24.08991522,0.665976133,0.974486847,0.024798649,7.791435217,93.46975749,1.771839336,96,13.4417081,0.539325843,0.014759063,1.18E-05,0.116723895,0.092485855,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.081583342,0.036760807
285,neuron_271.smr,39.86870634,39.68871595,1.953014165,4.706028067,9.291676204,1.341441847,1.968203431,0.025097882,0.850469566,0.901801138,0.618276075,41,13.29101398,0.240704501,0.013544146,1.41E-05,0.14988925,0.066480842,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.075617115,0.030292168
286,neuron_259.smr,40.82194225,40.67924528,0.61268568,0.771784108,14.45990128,1.086983326,1.363032588,0.024481948,3.429086203,16.39410517,1.210303055,80,13.67421452,0.444444444,0.01358175,1.40E-05,0.152790506,0.033779034,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.073182514,0.052729325
287,neuron_311.smr,65.83944257,65.49828179,0.219252006,0.124232949,14.74306134,1.651845272,2.17284646,0.015192123,5.12323295,46.75287373,1.13926469,93,23.91639942,0.29153605,0.010151505,3.80E-06,0.14755163,0.045461513,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.080524426,0.02985212
